1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, 255342985523.694
1991, 242589999851.319
1992, 260007192125.902
1993, 274155699209.854
1994, 310993103188.366
1995, 393418186744.059
1996, 416195415174.039
1997, 410169356182.417
1998, 448894516201.306
1999, 435065154081.647
2000, 428597869265.835
2001, 468614929760.097
2002, 528073644706.221
2003, 634392755114.964
2004, 763090521706.343
2005, 886071992246.426
2006, 1001637168216.98
2007, 1265564800459.09
2008, 1530711739102.62
2009, 1289846065408.44
2010, 1316531033893.12
2011, 1454696041345.17
2012, 1358996129796.77
2013, 1417459171481.04
2014, 1463675951157.07
2015, 1293469512790.95
2016, 1316594480887.55
2017, 1461306924995.73
2018, 1648634467771.53
2019, 1674210532695.96
2020, 1665327992740.77
2021, 1908002281033.51
2022, 1944198197077.57
2023, nan
