1960, 2598500000.0
1961, 3138500000.0
1962, 2510000000.0
1963, 2992333333.33333
1964, 3405333333.33333
1965, 3663333333.33333
1966, 3980000000.0
1967, 4030000000.0
1968, 4619000000.0
1969, 5329333333.33333
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, 104892955202.072
1996, 114505860826.519
1997, 118859377862.817
1998, 120056692192.311
1999, 120922937410.924
2000, 136035771711.672
2001, 134635822098.58
2002, 125060622862.932
2003, 131299915899.958
2004, 139973148371.263
2005, 147083996033.603
2006, 158670456932.537
2007, 184052121662.082
2008, 220531065217.391
2009, 211970040942.96
2010, 238364092298.023
2011, 266791854430.897
2012, 262282344091.849
2013, 297732778479.129
2014, 314330061977.263
2015, 303414276832.04
2016, 322102790386.835
2017, 358245427458.541
2018, 376691526553.276
2019, 402470513619.148
2020, 413267669231.522
2021, 488526545878.891
2022, 525002447652.773
2023, nan
